System: Starting background adjustment process...
System: Memulai proses untuk akun A1 (Start: 2025-08-01, End: 2025-08-31)
System: Target PPN: 1000000000, Target BTKP: 100000000
System: Restarting adjustment with force rerun enabled...
Action: Start Dual Adjustment | ACC: ('A1',) | Target PPN: 1,000,000,000.00 | Target BTKP: 100,000,000.00
--- Memulai Fase Penyesuaian PPN ---
PPN -> Current: 3,441,193,788.50 | Gap: -2,441,193,788.50
[PPN] Target Pemotongan: 2,441,193,788.50
[PPN] Faktor Proporsi (P): 0.7089
[A1] Action: Reduce Qty [3000/20375] | Receipt: 03-250804/00088 | Product: 0140020    | Qty Reduced: 14.0 | Value: 39,900.00 | Remaining Gap: 2,262,618,829.00
[A1] Action: Reduce Qty [3000/20375] | Receipt: 03-250804/00088 | Product: 0340862    | Qty Reduced: 1.0 | Value: 5,150.00 | Remaining Gap: 2,262,613,679.00
[A1] Action: Reduce Qty [3000/20375] | Receipt: 03-250804/00088 | Product: 0340023    | Qty Reduced: 2.0 | Value: 10,900.00 | Remaining Gap: 2,262,602,779.00
[A1] Action: Reduce Qty [3000/20375] | Receipt: 03-250804/00088 | Product: 0620998    | Qty Reduced: 2.0 | Value: 9,600.00 | Remaining Gap: 2,262,593,179.00
[A1] Action: Reduce Qty [3000/20375] | Receipt: 03-250804/00088 | Product: 0080446    | Qty Reduced: 15.0 | Value: 26,250.00 | Remaining Gap: 2,262,566,929.00
[A1] Action: Reduce Qty [3000/20375] | Receipt: 03-250804/00088 | Product: 0101210    | Qty Reduced: 3.0 | Value: 24,600.00 | Remaining Gap: 2,262,542,329.00
[A1] Action: Reduce Qty [3000/20375] | Receipt: 03-250804/00088 | Product: 0100417    | Qty Reduced: 1.0 | Value: 8,200.00 | Remaining Gap: 2,262,534,129.00
[A1] Action: Reduce Qty [3500/20375] | Receipt: 01-250805/00155 | Product: 0140621    | Qty Reduced: 2.0 | Value: 5,600.00 | Remaining Gap: 2,232,322,595.50
[A1] Action: Reduce Qty [3500/20375] | Receipt: 01-250805/00155 | Product: 0280661    | Qty Reduced: 1.0 | Value: 1,850.00 | Remaining Gap: 2,232,320,745.50
[A1] Action: Reduce Qty [3500/20375] | Receipt: 01-250805/00155 | Product: 0321062    | Qty Reduced: 1.0 | Value: 500.00 | Remaining Gap: 2,232,320,245.50
[A1] Action: Reduce Qty [3500/20375] | Receipt: 01-250805/00155 | Product: 0630014    | Qty Reduced: 1.0 | Value: 3,300.00 | Remaining Gap: 2,232,316,945.50
[A1] Action: Reduce Qty [4000/20375] | Receipt: 05-250805/00030 | Product: 0080416    | Qty Reduced: 9.0 | Value: 13,050.00 | Remaining Gap: 2,205,893,796.50
[A1] Action: Reduce Qty [4000/20375] | Receipt: 05-250805/00030 | Product: 0080171    | Qty Reduced: 9.0 | Value: 13,050.00 | Remaining Gap: 2,205,880,746.50
